name,screen_name,followers_count,friends_count,lang,location,occupation,profile_image_url,url,updated_at
Elizabeth Gillies,LizGillies,3387555,485,en,,Actor,http://pbs.twimg.com/profile_images/1330274199466815490/gFoQPGvk_normal.jpg,,2022-05-09 18:50:18
Lili Reinhart,lilireinhart,3383926,138,,,Actor,http://pbs.twimg.com/profile_images/1436708452781395974/orMPUTNr_normal.jpg,,2022-05-12 12:50:58
Winmetawin,winmetawin,3379771,78,en,,Actor,http://pbs.twimg.com/profile_images/1519857726540873728/M539fV1H_normal.jpg,,2022-05-12 05:50:46
Paresh Rawal,SirPareshRawal,3373569,199,hi,"Mumbai, India",Actor,http://pbs.twimg.com/profile_images/581029195012186112/DqdlVzGH_normal.jpg,,2022-05-12 03:50:58
Ben Affleck,BenAffleck,3152258,76,,,Actor,http://pbs.twimg.com/profile_images/3782523511/fc6c9a4523187aaf21d31c354f3a5638_normal.jpeg,,2022-05-12 10:50:47
Gal Gadot,GalGadot,3143710,162,en,,Actor,http://pbs.twimg.com/profile_images/852641381185052672/XZdhIU0J_normal.jpg,http://www.instagram.com/gal_gadot,2022-05-12 13:50:47
Kumail Nanjiani,kumailn,3128962,3458,en,Los Angeles,Actor,http://pbs.twimg.com/profile_images/1433461591840735240/Df4ys_0d_normal.jpg,,2022-05-12 12:51:04
Adam Sandler,AdamSandler,3061620,72,,,Actor,http://pbs.twimg.com/profile_images/1494686912811995137/Mc1bdggF_normal.jpg,https://wbr.ec/100fresh,2022-05-12 12:50:41
Idris Elba,idriselba,3000986,957,en,Everywhere You Are!,Actor,http://pbs.twimg.com/profile_images/1471495622339354630/mHj_qfQA_normal.jpg,https://www.justgiving.com/crowdfunding/freetownexplosion?utm_term=VXN3gd38p,2022-05-12 08:51:01
Jared Padalecki,jarpad,2975917,389,en,,Actor,http://pbs.twimg.com/profile_images/1339645767456317440/I88FwsEv_normal.jpg,http://linktr.ee/jarpad,2022-05-11 17:13:14
Vikram Chandra,vikramchandra,2928161,326,en,,Actor,http://pbs.twimg.com/profile_images/586037880100757504/5XdAH6QM_normal.jpg,http://www.editorji.com/download,2022-05-08 17:50:43
Mahira Khan,TheMahiraKhan,2901503,169,en,,Actor,http://pbs.twimg.com/profile_images/513754247435804673/h7ZA0zMX_normal.jpeg,"https://mashion.pk/,https://instagram.com/mahirahkhan",2022-05-10 14:51:09
Anupama Parameswaran,anupamahere,2899729,133,en,"Kerala, India",Actor,http://pbs.twimg.com/profile_images/1517842724677844992/Yxyrpw5y_normal.jpg,https://en.wikipedia.org/wiki/Anupama_Parameswaran,2022-05-11 19:51:15
Vijay Deverakonda,TheDeverakonda,2896529,,en,"Hyderabad, India",Actor,http://pbs.twimg.com/profile_images/1183011023202029569/mNOTZ4Wt_normal.jpg,http://www.instagram.com/TheDeverakonda,2022-05-12 12:50:48
Brie Larson,brielarson,2888496,212,,,Actor,http://pbs.twimg.com/profile_images/1519125702922055681/5ZmCSS0J_normal.jpg,https://linktr.ee/BrieLarson,2022-05-12 13:50:26
Misha Collins,mishacollins,2836600,1144,en,"moron, mongolia",Actor,http://pbs.twimg.com/profile_images/1060985741201694720/k9svlZBG_normal.jpg,https://linktr.ee/mishacollins,2022-05-07 13:50:52
David Spade,DavidSpade,2824747,57,en,,Actor,http://pbs.twimg.com/profile_images/1309624550720548864/IJt9D3iC_normal.jpg,https://link.chtbl.com/FlyOnTheWall,2022-05-12 13:51:38
Genevieve Nnaji MFR,GenevieveNnaji1,2805917,1527,,Right here and now ,Actor,http://pbs.twimg.com/profile_images/1486955700253245444/jnFxokIY_normal.jpg,,2022-05-06 02:51:01
Russell Crowe,russellcrowe,2788744,333,en,here and there,Actor,http://pbs.twimg.com/profile_images/1508616185155227651/eaUleqTF_normal.jpg,http://www.youtube.com/southsydneymedia,2022-05-11 19:50:31
